,month,hour,times,watts
0,1,0,2019-07-17 12:11:00.000000,0.0
1,1,1,2019-07-17 13:11:00.000000,0.0
2,1,2,2019-07-17 14:11:00.000000,0.0
3,1,3,2019-07-17 15:11:00.000000,0.0
4,1,4,2019-07-17 16:11:00.000000,0.0
5,1,5,2019-07-17 17:11:00.000000,0.0
6,1,6,2019-07-17 18:11:00.000000,0.0
7,1,7,2019-07-17 19:11:00.000000,0.0
8,1,8,2019-07-17 20:11:00.000000,197.8548387096774
9,1,9,2019-07-17 21:11:00.000000,417.4483870967742
10,1,10,2019-07-17 22:11:00.000000,543.6419354838711
11,1,11,2019-07-17 23:11:00.000000,625.0516129032258
12,1,12,2019-07-18 00:11:00.000000,611.9161290322581
13,1,13,2019-07-18 01:11:00.000000,447.2129032258065
14,1,14,2019-07-18 02:11:00.000000,205.7258064516129
15,1,15,2019-07-18 03:11:00.000000,4.395161290322581
16,1,16,2019-07-18 04:11:00.000000,0.0
17,1,17,2019-07-18 05:11:00.000000,0.0
18,1,18,2019-07-18 06:11:00.000000,0.0
19,1,19,2019-07-18 07:11:00.000000,0.0
20,1,20,2019-07-18 08:11:00.000000,0.0
21,1,21,2019-07-18 09:11:00.000000,0.0
22,1,22,2019-07-18 10:11:00.000000,0.0
23,1,23,2019-07-18 11:11:00.000000,0.0
24,2,0,2019-08-19 11:07:50.526315,0.0
25,2,1,2019-08-19 12:07:50.526315,0.0
26,2,2,2019-08-19 13:07:50.526315,0.0
27,2,3,2019-08-19 14:07:50.526315,0.0
28,2,4,2019-08-19 15:07:50.526315,0.0
29,2,5,2019-08-19 16:07:50.526315,0.0
30,2,6,2019-08-19 17:07:50.526315,0.0
31,2,7,2019-08-19 18:07:50.526315,144.17719298245615
32,2,8,2019-08-19 19:07:50.526315,492.75087719298244
33,2,9,2019-08-19 20:07:50.526315,691.6614035087719
34,2,10,2019-08-19 21:07:50.526315,853.6333333333333
35,2,11,2019-08-19 22:07:50.526315,893.1578947368421
36,2,12,2019-08-19 23:07:50.526315,815.3035087719298
37,2,13,2019-08-20 00:07:50.526315,701.780701754386
38,2,14,2019-08-20 01:07:50.526315,529.838596491228
39,2,15,2019-08-20 02:07:50.526315,229.7140350877193
40,2,16,2019-08-20 03:07:50.526315,5.250877192982457
41,2,17,2019-08-20 04:07:50.526315,0.0
42,2,18,2019-08-20 05:07:50.526315,0.0
43,2,19,2019-08-20 06:07:50.526315,0.0
44,2,20,2019-08-20 07:07:50.526315,0.0
45,2,21,2019-08-20 08:07:50.526315,0.0
46,2,22,2019-08-20 09:07:50.526315,0.0
47,2,23,2019-08-20 10:07:50.526315,0.0
48,3,0,2019-09-15 00:11:00.000000,0.0
49,3,1,2019-09-15 01:11:00.000000,0.0
50,3,2,2019-09-15 02:11:00.000000,0.0
51,3,3,2019-09-15 03:11:00.000000,0.0
52,3,4,2019-09-15 04:11:00.000000,0.0
53,3,5,2019-09-15 05:11:00.000000,2.388709677419355
54,3,6,2019-09-15 06:11:00.000000,236.32096774193548
55,3,7,2019-09-15 07:11:00.000000,763.1887096774193
56,3,8,2019-09-15 08:11:00.000000,1279.0677419354838
57,3,9,2019-09-15 09:11:00.000000,1655.3790322580646
58,3,10,2019-09-15 10:11:00.000000,1802.5403225806451
59,3,11,2019-09-15 11:11:00.000000,1842.5193548387097
60,3,12,2019-09-15 12:11:00.000000,1731.4258064516127
61,3,13,2019-09-15 13:11:00.000000,1510.9483870967742
62,3,14,2019-09-15 14:11:00.000000,1216.3225806451612
63,3,15,2019-09-15 15:11:00.000000,770.1774193548387
64,3,16,2019-09-15 16:11:00.000000,296.7467741935484
65,3,17,2019-09-15 17:11:00.000000,0.3709677419354839
66,3,18,2019-09-15 18:11:00.000000,0.0
67,3,19,2019-09-15 19:11:00.000000,0.0
68,3,20,2019-09-15 20:11:00.000000,0.0
69,3,21,2019-09-15 21:11:00.000000,0.0
70,3,22,2019-09-15 22:11:00.000000,0.0
71,3,23,2019-09-15 23:11:00.000000,0.0
72,4,0,2019-10-15 12:11:00.000000,0.0
73,4,1,2019-10-15 13:11:00.000000,0.0
74,4,2,2019-10-15 14:11:00.000000,0.0
75,4,3,2019-10-15 15:11:00.000000,0.0
76,4,4,2019-10-15 16:11:00.000000,2.865
77,4,5,2019-10-15 17:11:00.000000,546.1650000000001
78,4,6,2019-10-15 18:11:00.000000,1376.2766666666669
79,4,7,2019-10-15 19:11:00.000000,2166.0866666666666
80,4,8,2019-10-15 20:11:00.000000,2828.9566666666665
81,4,9,2019-10-15 21:11:00.000000,3367.383333333333
82,4,10,2019-10-15 22:11:00.000000,3668.8233333333333
